Months,Stock,Goal,Gap,AT,Flow
0.0,100.0,20.0,-80.0,5.0,-16.0
0.25,96.0,20.0,-76.0,5.0,-15.2
0.5,92.2,20.0,-72.2,5.0,-14.440000000000001
0.75,88.59,20.0,-68.59,5.0,-13.718
1.0,85.1605,20.0,-65.1605,5.0,-13.0321
1.25,81.902475,20.0,-61.902474999999995,5.0,-12.380495
1.5,78.80735125,20.0,-58.807351249999996,5.0,-11.761470249999999
1.75,75.8669836875,20.0,-55.866983687499996,5.0,-11.1733967375
2.0,73.07363450312499,20.0,-53.07363450312499,5.0,-10.614726900624998
2.25,70.41995277796875,20.0,-50.419952777968746,5.0,-10.083990555593749
2.5,67.89895513907031,20.0,-47.89895513907031,5.0,-9.579791027814062
2.75,65.5040073821168,20.0,-45.5040073821168,5.0,-9.10080147642336
3.0,63.22880701301096,20.0,-43.22880701301096,5.0,-8.645761402602192
3.25,61.067366662360406,20.0,-41.067366662360406,5.0,-8.21347333247208
3.5,59.01399832924238,20.0,-39.01399832924238,5.0,-7.802799665848477
3.75,57.06329841278026,20.0,-37.06329841278026,5.0,-7.412659682556052
4.0,55.21013349214125,20.0,-35.21013349214125,5.0,-7.04202669842825
