Months,"Stock[1, First]","Stock[1, Second]","Stock[2, First]","Stock[2, Second]",Goal,"Gap[1, First]","Gap[1, Second]","Gap[2, First]","Gap[2, Second]","AT[1, First]","AT[1, Second]","AT[2, First]","AT[2, Second]","Flow[1, First]","Flow[1, Second]","Flow[2, First]","Flow[2, Second]"
0.0,100.0,100.0,100.0,100.0,20.0,-80.0,-80.0,-80.0,-80.0,1.0,3.0,5.0,7.0,-80.0,-26.666666666666668,-16.0,-11.428571428571429
0.25,80.0,93.33333333333333,96.0,97.14285714285714,20.0,-60.0,-73.33333333333333,-76.0,-77.14285714285714,1.0,3.0,5.0,7.0,-60.0,-24.444444444444443,-15.2,-11.020408163265305
0.5,65.0,87.22222222222221,92.2,94.38775510204081,20.0,-45.0,-67.22222222222221,-72.2,-74.38775510204081,1.0,3.0,5.0,7.0,-45.0,-22.407407407407405,-14.440000000000001,-10.626822157434402
0.75,53.75,81.62037037037037,88.59,91.73104956268222,20.0,-33.75,-61.62037037037037,-68.59,-71.73104956268222,1.0,3.0,5.0,7.0,-33.75,-20.540123456790123,-13.718,-10.247292794668889
1.0,45.3125,76.48533950617283,85.1605,89.16922636401499,20.0,-25.3125,-56.485339506172835,-65.1605,-69.16922636401499,1.0,3.0,5.0,7.0,-25.3125,-18.828446502057613,-13.0321,-9.881318052002142
1.25,38.984375,71.77822788065843,81.902475,86.69889685101445,20.0,-18.984375,-51.778227880658434,-61.902474999999995,-66.69889685101445,1.0,3.0,5.0,7.0,-18.984375,-17.25940929355281,-12.380495,-9.528413835859208
1.5,34.23828125,67.46337555727023,78.80735125,84.31679339204965,20.0,-14.23828125,-47.463375557270226,-58.807351249999996,-64.31679339204965,1.0,3.0,5.0,7.0,-14.23828125,-15.821125185756742,-11.761470249999999,-9.188113341721378
1.75,30.6787109375,63.508094260831044,75.8669836875,82.0197650566193,20.0,-10.6787109375,-43.508094260831044,-55.866983687499996,-62.019765056619306,1.0,3.0,5.0,7.0,-10.6787109375,-14.502698086943681,-11.1733967375,-8.859966436659901
2.0,28.009033203125,59.88241973909513,73.07363450312499,79.80477344745434,20.0,-8.009033203125,-39.88241973909513,-53.07363450312499,-59.80477344745434,1.0,3.0,5.0,7.0,-8.009033203125,-13.294139913031708,-10.614726900624998,-8.543539063922049
2.25,26.00677490234375,56.5588847608372,70.41995277796875,77.66888868147383,20.0,-6.00677490234375,-36.5588847608372,-50.419952777968746,-57.66888868147383,1.0,3.0,5.0,7.0,-6.00677490234375,-12.186294920279067,-10.083990555593749,-8.238412668781976
2.5,24.505081176757812,53.512311030767435,67.89895513907031,75.60928551427834,20.0,-4.5050811767578125,-33.512311030767435,-47.89895513907031,-55.60928551427834,1.0,3.0,5.0,7.0,-4.5050811767578125,-11.170770343589146,-9.579791027814062,-7.944183644896905
2.75,23.37881088256836,50.71961844487015,65.5040073821168,73.62323960305412,20.0,-3.3788108825683594,-30.71961844487015,-45.5040073821168,-53.62323960305412,1.0,3.0,5.0,7.0,-3.3788108825683594,-10.239872814956717,-9.10080147642336,-7.660462800436302
3.0,22.53410816192627,48.15965024113097,63.22880701301096,71.70812390294505,20.0,-2.5341081619262695,-28.15965024113097,-43.22880701301096,-51.70812390294505,1.0,3.0,5.0,7.0,-2.5341081619262695,-9.38655008037699,-8.645761402602192,-7.386874843277864
3.25,21.900581121444702,45.81301272103672,61.067366662360406,69.86140519212559,20.0,-1.9005811214447021,-25.81301272103672,-41.067366662360406,-49.86140519212559,1.0,3.0,5.0,7.0,-1.9005811214447021,-8.604337573678906,-8.21347333247208,-7.12305788458937
3.5,21.425435841083527,43.66192832761699,59.01399832924238,68.08064072097825,20.0,-1.4254358410835266,-23.66192832761699,-39.01399832924238,-48.08064072097825,1.0,3.0,5.0,7.0,-1.4254358410835266,-7.887309442538997,-7.802799665848477,-6.86866296013975
3.75,21.069076880812645,41.69010096698224,57.06329841278026,66.36347498094331,20.0,-1.069076880812645,-21.690100966982243,-37.06329841278026,-46.36347498094331,1.0,3.0,5.0,7.0,-1.069076880812645,-7.230033655660748,-7.412659682556052,-6.623353568706187
4.0,20.801807660609484,39.882592553067056,55.21013349214125,64.70763658876676,20.0,-0.8018076606094837,-19.882592553067056,-35.21013349214125,-44.70763658876676,1.0,3.0,5.0,7.0,-0.8018076606094837,-6.627530851022352,-7.04202669842825,-6.38680522696668
4.25,20.601355745457113,38.22570984031147,53.44962681753419,63.11093528202509,20.0,-0.6013557454571128,-18.225709840311467,-33.44962681753419,-43.11093528202509,1.0,3.0,5.0,7.0,-0.6013557454571128,-6.075236613437156,-6.689925363506838,-6.158705040289298
4.5,20.451016809092835,36.70690068695218,51.77714547665748,61.57125902195276,20.0,-0.4510168090928346,-16.70690068695218,-31.77714547665748,-41.57125902195276,1.0,3.0,5.0,7.0,-0.4510168090928346,-5.5689668956507274,-6.3554290953314965,-5.938751288850395
4.75,20.338262606819626,35.3146589630395,50.18828820282461,60.08657119974016,20.0,-0.33826260681962594,-15.314658963039498,-30.18828820282461,-40.08657119974016,1.0,3.0,5.0,7.0,-0.33826260681962594,-5.104886321013166,-6.037657640564921,-5.726653028534309
5.0,20.25369695511472,34.038437382786206,48.678873792683376,58.654907942606584,20.0,-0.25369695511471946,-14.038437382786206,-28.678873792683376,-38.654907942606584,1.0,3.0,5.0,7.0,-0.25369695511471946,-4.679479127595402,-5.735774758536675,-5.5221297060866545
5.25,20.19027271633604,32.86856760088735,47.24493010304921,57.27437551608492,20.0,-0.1902727163360396,-12.868567600887353,-27.244930103049207,-37.27437551608492,1.0,3.0,5.0,7.0,-0.1902727163360396,-4.289522533629118,-5.4489860206098415,-5.324910788012132
5.5,20.14270453725203,31.796186967480075,45.882683597896744,55.943147819081894,20.0,-0.1427045372520297,-11.796186967480075,-25.882683597896744,-35.943147819081894,1.0,3.0,5.0,7.0,-0.1427045372520297,-3.9320623224933584,-5.176536719579349,-5.134735402725985
5.75,20.107028402939022,30.813171386856737,44.588549418001904,54.659463968400395,20.0,-0.10702840293902227,-10.813171386856737,-24.588549418001904,-34.659463968400395,1.0,3.0,5.0,7.0,-0.10702840293902227,-3.604390462285579,-4.917709883600381,-4.951351995485771
6.0,20.080271302204267,29.912073771285343,43.35912194710181,53.421625969528954,20.0,-0.0802713022042667,-9.912073771285343,-23.359121947101812,-33.421625969528954,1.0,3.0,5.0,7.0,-0.0802713022042667,-3.3040245904284475,-4.671824389420363,-4.774517995646994
6.25,20.0602034766532,29.086067623678233,42.191165849746724,52.22799647061721,20.0,-0.06020347665320003,-9.086067623678233,-22.191165849746724,-32.22799647061721,1.0,3.0,5.0,7.0,-0.06020347665320003,-3.0286892078927443,-4.438233169949345,-4.603999495802458
6.5,20.0451526074899,28.328895321705048,41.08160755725939,51.07699659666659,20.0,-0.04515260748990002,-8.328895321705048,-21.08160755725939,-31.07699659666659,1.0,3.0,5.0,7.0,-0.04515260748990002,-2.776298440568349,-4.216321511451878,-4.439570942380941
6.75,20.033864455617426,27.63482071156296,40.02752717939642,49.96710386107135,20.0,-0.033864455617425904,-7.634820711562959,-20.027527179396422,-29.96710386107135,1.0,3.0,5.0,7.0,-0.033864455617425904,-2.544940237187653,-4.005505435879284,-4.281014837295907
7.0,20.02539834171307,26.998585652266044,39.0261508204266,48.89685015174737,20.0,-0.025398341713071204,-6.998585652266044,-19.0261508204266,-28.896850151747373,1.0,3.0,5.0,7.0,-0.025398341713071204,-2.3328618840886812,-3.8052301640853203,-4.128121450249624
7.25,20.019048756284803,26.415370181243873,38.07484327940527,47.86481978918496,20.0,-0.019048756284803403,-6.415370181243873,-18.074843279405272,-27.864819789184963,1.0,3.0,5.0,7.0,-0.019048756284803403,-2.138456727081291,-3.6149686558810545,-3.9806885413121376
7.5,20.014286567213603,25.88075599947355,37.17110111543501,46.86964765385693,20.0,-0.014286567213602552,-5.88075599947355,-17.171101115435008,-26.86964765385693,1.0,3.0,5.0,7.0,-0.014286567213602552,-1.9602519998245167,-3.4342202230870016,-3.838521093408133
7.75,20.010714925410202,25.39069299951742,36.312546059663255,45.9100173805049,20.0,-0.010714925410201914,-5.3906929995174195,-16.312546059663255,-25.910017380504897,1.0,3.0,5.0,7.0,-0.010714925410201914,-1.7968976665058065,-3.262509211932651,-3.7014310543578426
